1,1,1,9
2,1,1,7
3,1,2,10
4,1,2,8
5,1,2,6
6,2,1,10
7,2,1,8
8,2,4,9
9,2,4,10
10,3,3,2
11,3,3,7
12,12,2,9
13,13,3,5
14,14,4,10
15,1,5,6
16,2,6,3
17,3,7,10
18,4,8,4
19,5,9,9
20,6,10,2
21,7,1,9
22,8,2,5
23,9,3,8
24,10,4,4
25,11,5,7
26,12,6,6
27,13,7,3
28,14,8,10
29,1,9,4
30,2,10,8
31,3,1,6
32,4,2,2
33,5,3,9
34,6,4,5
35,7,5,7
36,8,6,8
37,9,7,3
38,10,8,9
39,11,9,4
40,12,10,6
41,13,1,8
42,14,2,10
43,1,3,5
44,2,4,10
45,3,5,6
46,4,6,3
47,5,7,9
48,6,8,4
49,7,9,7
50,8,10,2
51,1,11,10
52,2,11,10
53,3,11,9
54,4,11,4
55,1,11,3
56,1,11,7
57,2,11,8
58,3,11,6
59,4,11,5
59,4,11,9
